순위,name,date,money,pop,스크린수,상영횟수,대표국적,국적,배급사
59,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800","4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
60,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,씨제이엔터테인먼트
61,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000","4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
62,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
63,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,씨제이이앤엠(주)
64,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,717,175,385","3,963,964","1,106","110,124",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
65,매드 맥스: 분노의 도로,2015-05-14,"33,649,857,862","3,914,023",799,"103,297",미국,"미국,호주",워너브러더스 코리아(주)
66,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아
67,베놈,2018-10-03,"34,100,211,207","3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
68,데드풀 2,2018-05-16,"34,185,664,639","3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주)
69,라라랜드,2016-12-07,"30,832,708,488","3,737,169",727,"112,300",미국,미국,판씨네마(주)
70,너의 이름은.,2017-01-04,"30,035,751,096","3,732,561",947,"86,492",일본,일본,메가박스중앙(주)플러스엠
71,해리 포터와 불사조 기사단,2007-07-11,"22,899,775,300","3,691,060",768,"52,349",미국,미국,워너브러더스 코리아(주)
72,미이라,2017-06-06,"30,504,689,978","3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
73,분노의 질주: 더 익스트림,2017-04-12,"30,042,804,348","3,659,516","1,469","114,203",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
74,분노의 질주: 홉스&쇼,2019-08-14,"32,241,767,793","3,657,536","1,311","94,896",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
75,인턴,2015-09-24,"28,522,202,348","3,611,166",659,"81,589",미국,미국,워너브러더스 코리아(주)
76,리얼 스틸,2011-10-12,"26,566,677,000","3,579,666",603,"87,650",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
77,코코,2018-01-11,"27,723,289,440","3,513,114","1,177","85,935",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
78,킹콩,2005-12-14,"21,476,688,172","3,470,059",319,"38,456",미국,미국,UIP코리아
79,비긴 어게인,2014-08-13,"27,303,786,821","3,463,210",525,"86,426",미국,미국,판씨네마(주)
80,어바웃 타임,2013-12-05,"25,255,473,800","3,441,657",568,"66,427",영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
81,해리포터와 불의 잔,2005-12-01,"21,464,160,900","3,430,975",504,"43,063",미국,미국,워너브러더스 코리아(주)
82,토이 스토리 4,2019-06-20,"28,763,352,540","3,400,623","1,336","85,913",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
83,맨 인 블랙 3,2012-05-24,"27,301,520,070","3,379,762",770,"69,538",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
84,슈퍼배드 3,2017-07-26,"24,217,091,019","3,324,874","1,057","59,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
85,데드풀,2016-02-17,"27,633,406,151","3,322,773","1,036","84,402",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
86,그래비티,2013-10-17,"32,287,358,600","3,280,151",636,"83,927",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
87,스타워즈: 깨어난 포스,2015-12-17,"28,353,796,331","3,273,879",940,"69,226",미국,미국,월트디즈니컴퍼니코리아(주)
88,분노의 질주: 더 세븐,2015-04-01,"26,466,421,694","3,248,904",983,"93,616",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
89,터미네이터 제니시스,2015-07-02,"26,556,715,129","3,240,370","1,113","77,590",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
90,아일랜드,2005-07-21,"20,363,994,500","3,218,811",340,"35,990",미국,미국,워너브러더스 코리아(주)
91,다이 하드 4 : 죽어도 산다,2007-07-17,"20,622,308,900","3,176,937",528,"47,011",미국,미국,이십세기폭스필름코퍼레이션
92,캐리비안의 해적: 낯선 조류,2011-05-19,"27,279,967,500","3,130,046",960,"67,036",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
93,나우 유 씨 미 2,2016-07-13,"25,116,690,113","3,100,113","1,200","56,983",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
94,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,"24,975,495,122","3,049,894","1,357","85,225",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
95,토르: 다크 월드,2013-10-30,"22,527,732,000","3,040,115",733,"78,102",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
96,인크레더블 2,2018-07-18,"24,555,055,588","3,033,105","1,605","70,935",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
97,다빈치 코드,2006-05-18,"18,873,057,800","3,022,936",514,"42,856",미국,미국,소니픽쳐스릴리징코리아
98,레드: 더 레전드,2013-07-18,"21,511,371,970","3,004,649",739,"55,733",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
99,드래곤 길들이기 2,2014-07-23,"23,980,525,189","3,000,115",829,"51,927",미국,미국,씨제이이앤엠(주)
100,미스터 & 미세스 스미스,2005-06-16,"18,900,071,500","2,963,193",302,"45,087",미국,미국,이십세기폭스필름코퍼레이션
101,해리 포터와 혼혈 왕자,2009-07-15,"20,267,484,000","2,957,736",751,"48,115",미국,미국,워너브러더스 코리아(주)
102,서치,2018-08-29,"25,284,465,345","2,950,097","1,097","95,761",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
103,엑스맨: 아포칼립스,2016-05-25,"24,467,887,950","2,938,818","1,262","66,471",미국,미국,이십세기폭스코리아(주)
104,300,2007-03-14,"18,683,698,500","2,929,561",402,"60,856",미국,미국,워너브러더스 코리아(주)
105,황금 나침반,2007-12-18,"18,336,681,000","2,906,958",492,"52,708",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
106,솔트,2010-07-29,"21,360,288,000","2,869,938",556,"53,679",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
107,원티드,2008-06-26,"19,249,398,000","2,858,750",512,"55,013",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
108,해리 포터와 죽음의 성물1,2010-12-15,"20,219,758,000","2,853,500",717,"52,726",미국,미국,워너브러더스 코리아(주)
109,앤트맨,2015-09-03,"23,598,965,937","2,847,712",949,"75,035",미국,"미국,영국",월트디즈니컴퍼니코리아(주)
110,호빗: 다섯 군대 전투,2014-12-17,"24,268,487,685","2,836,774",926,"51,180",미국,"미국,뉴질랜드",워너브러더스 코리아(주)
111,슈렉3,2007-06-06,"17,898,427,500","2,826,957",620,"64,640",미국,미국,씨제이엔터테인먼트
112,호빗: 뜻밖의 여정,2012-12-13,"23,436,820,716","2,818,993","1,028","51,583",미국,"미국,뉴질랜드",워너브러더스 코리아(주)
113,메이즈 러너,2014-09-18,"21,489,367,677","2,812,427",655,"71,048",미국,미국,이십세기폭스코리아(주)
114,빅 히어로,2015-01-21,"21,993,119,765","2,801,949",825,"62,230",미국,미국,월트디즈니컴퍼니코리아(주)
115,덩케르크,2017-07-20,"24,577,428,848","2,793,042","1,252","66,014",미국,"미국,영국",워너브러더스 코리아(주)
116,혹성탈출: 진화의 시작,2011-08-17,"20,629,757,000","2,773,794",514,"61,264",미국,미국,이십세기폭스코리아(주)
